,Layer,duration_time,timestamp,packet_length,payload_length
8190,TCP,2020-04-03 14:52:49.991700,1585905769.9917,282,3
8191,TCP,2020-04-03 14:52:49.992293,1585905769.992293,16450,209
8192,TCP,2020-04-03 14:52:49.992601,1585905769.992601,16450,125
8193,TCP,2020-04-03 14:52:49.992634,1585905769.992634,66,125
8194,TCP,2020-04-03 14:52:49.992895,1585905769.992895,16450,215
8195,TCP,2020-04-03 14:52:49.993007,1585905769.993007,3187,167
8196,TCP,2020-04-03 14:52:49.993014,1585905769.993014,66,167
8197,TCP,2020-04-03 14:52:49.995602,1585905769.995602,282,3
8198,TCP,2020-04-03 14:52:49.996181,1585905769.996181,16450,209
8199,TCP,2020-04-03 14:52:49.996487,1585905769.996487,16450,125
8200,TCP,2020-04-03 14:52:49.996520,1585905769.99652,66,125
8201,TCP,2020-04-03 14:52:49.996772,1585905769.996772,16450,215
8202,TCP,2020-04-03 14:52:49.996877,1585905769.996877,3187,167
8203,TCP,2020-04-03 14:52:49.996884,1585905769.996884,66,167
8204,TCP,2020-04-03 14:52:49.999318,1585905769.999318,282,3
8205,TCP,2020-04-03 14:52:49.999872,1585905769.999872,16450,209
8206,TCP,2020-04-03 14:52:50.000192,1585905770.000192,16450,125
8207,TCP,2020-04-03 14:52:50.000220,1585905770.00022,66,125
8208,TCP,2020-04-03 14:52:50.000487,1585905770.000487,16450,215
8209,TCP,2020-04-03 14:52:50.000581,1585905770.000581,3187,167
8210,TCP,2020-04-03 14:52:50.000588,1585905770.000588,66,167
8211,TCP,2020-04-03 14:52:50.003233,1585905770.003233,282,3
8212,TCP,2020-04-03 14:52:50.003780,1585905770.00378,16450,209
8213,TCP,2020-04-03 14:52:50.004114,1585905770.004114,16450,125
8214,TCP,2020-04-03 14:52:50.004140,1585905770.00414,66,125
8215,TCP,2020-04-03 14:52:50.004397,1585905770.004397,16450,215
8216,TCP,2020-04-03 14:52:50.004491,1585905770.004491,3187,167
8217,TCP,2020-04-03 14:52:50.004497,1585905770.004497,66,167
8218,TCP,2020-04-03 14:52:50.006956,1585905770.006956,282,3
8219,TCP,2020-04-03 14:52:50.007505,1585905770.007505,16450,209
8220,TCP,2020-04-03 14:52:50.007810,1585905770.00781,16450,125
8221,TCP,2020-04-03 14:52:50.007866,1585905770.007866,66,125
8222,TCP,2020-04-03 14:52:50.008123,1585905770.008123,16450,215
8223,TCP,2020-04-03 14:52:50.008216,1585905770.008216,3187,167
8224,TCP,2020-04-03 14:52:50.008222,1585905770.008222,66,167
8225,TCP,2020-04-03 14:52:50.010637,1585905770.010637,282,3
8226,TCP,2020-04-03 14:52:50.011224,1585905770.011224,16450,209
8227,TCP,2020-04-03 14:52:50.011526,1585905770.011526,16450,125
8228,TCP,2020-04-03 14:52:50.011556,1585905770.011556,66,125
8229,TCP,2020-04-03 14:52:50.011810,1585905770.01181,16450,215
8230,TCP,2020-04-03 14:52:50.011914,1585905770.011914,3187,167
8231,TCP,2020-04-03 14:52:50.011920,1585905770.01192,66,167
8232,TCP,2020-04-03 14:52:50.016474,1585905770.016474,282,3
8233,TCP,2020-04-03 14:52:50.017053,1585905770.017053,16450,209
8234,TCP,2020-04-03 14:52:50.017357,1585905770.017357,16450,125
8235,TCP,2020-04-03 14:52:50.017385,1585905770.017385,66,125
8236,TCP,2020-04-03 14:52:50.017641,1585905770.017641,16450,215
8237,TCP,2020-04-03 14:52:50.017732,1585905770.017732,3187,167
8238,TCP,2020-04-03 14:52:50.017739,1585905770.017739,66,167
8239,TCP,2020-04-03 14:52:50.020825,1585905770.020825,282,3
